epoch,accuracy,loss,val_accuracy,val_loss
0,0.9345833,0.2200121629267931,0.9645,0.10689195910617709
1,0.97026664,0.09801814120337367,0.9726,0.08727311355061829
2,0.97798336,0.07113373807246487,0.979,0.06877782809538767
3,0.9824,0.05432392266153668,0.9804,0.0686512249469175
4,0.98581666,0.04381228174561014,0.9816,0.06474663341853303
5,0.98775,0.03627949732767108,0.9794,0.07488694150489172
6,0.9892667,0.03317181468223959,0.98,0.0701602767627919
